LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-96.3483978,30.0651621,0,Tegeler Road,,,,,,,eb4075fb7d5c8157
-96.3430501,30.0585698,8525,Fm 2754,,BRENHAM,,,,,82bf21bd68f94ba4
-96.3464787,30.0628901,9152,Tegler Road,,BRENHAM,,,,,32be275778524ff4
-96.3507917,30.058728,0,Old 36 Road,,,,,,,592c50c571bd39aa
-96.353575,30.0576896,8553,Tegeler Road,,BELLVILLE,,,,,db73a5297f62a46b
-96.3603464,30.0601768,9935,Rocky Road,,,,,,,303130149c55e53b
-96.3598309,30.0641526,10339,Rocky Road,,BELLVILLE,,,,,ffd77b1ee67e194e
-96.3558886,30.064264,0,Rocky Road,,,,,,,77e612a7fb96c1e1
-96.3520263,30.0594941,8741,Tegeler Road,, ,,,,,c9bbefc9801f6dcd
-96.3529102,30.0602328,8861,Tegeler Road,,,,,,,00b4c26a21af0791
-96.3541538,30.0609604,0,Tegeler Road,,,,,,,9b550f44331b9429
-96.4842065,29.8903117,316,Cedar Drive,,NEW ULM,,,,,f6969bfa1e500776
-96.3484818,29.9585624,6173,Highway 159 West,,BELLVILLE,,,,,7ef906fdb403b4b3
-96.3493032,29.950945,5853,Highway 159 West,,BELLVILLE,,,,,ddf326d204f4ce91
-96.3547498,29.9445184,2534,Sycamore Crossing Road,, ,,,,,8806bd4218e87a0f
-96.1846911,29.855463,0,Highway 36,,SEALY,,,,,59d31d33152e7bb8
-96.1867834,29.8557977,0,Peters San Felipe Road,,SEALY,,,,,3928301cb3032d10
-96.1869992,29.855225,1296,Peters San Felipe Road,,SEALY,,,,,88514074a5824239
-96.1872458,29.8546691,1258,Peters San Felipe Road,,SEALY,,,,,5d58d79cb1d958cb
-96.1866425,29.8564194,1358,Peters San Felipe Road,,SEALY,,,,,4486cd19424eae79
-96.1875832,29.8569515,1404,Peters San Felipe Road,,SEALY,,,,,aa319993e123a57f
-96.5884194,30.0011392,1932,Krebs Road,,,,,,,b32a0d762cb3ee07
-96.1987271,29.7888981,0,Fm 2187,,,,,,,dc79f47c1dbdbff8
-96.1972301,29.7885323,3026,Fm 2187,,,,,,,1d126e4baa4ada16
-96.2549227,29.9554454,513,North Holland Street,,BELLVILLE,,,,,50b296fab3952ee1
-96.2553993,29.9548275,0,North Holland @ Crockett Street,,BELLVILLE,,,,,b7929b96c2b06b93
-96.2551929,29.9551811,503,North Holland Street,,BELLVILLE,,,,,78d5748cd966d405
-96.2551579,29.9547386,0,Crockett Street,,BELLVILLE,,,,,c2e691706cfbe9ee
-96.2543876,29.9553421,503,North Holland Street,,BELLVILLE,,,,,28ad7a1965434bb6
-96.2549628,29.954705,0,Crockett Street,,BELLVILLE,,,,,f8dfafb8ab99719d
-96.4864175,29.8911756,417,Main Street,,NEW ULM,,,,,e9605e8d6593aa95
-96.1709374,29.7731056,0,Goebel Street,,SEALY,,,,,b9ecba080b924df7
-96.0449544,29.7627254,0,Sodolak Lane,,SEALY,,,,,8a94034724be8bd5
-96.0442628,29.7626656,715,Sodolak Lane,,SEALY,,,,,33451ab68c99c627
-96.2555245,29.9502334,19,North Miller Street,,BELLVILLE,,,,,1f37eafebd2478ad
-96.2551485,29.9501489,18,North Harris Street,,BELLVILLE,,,,,2b6002f83996e69c
-96.2552839,29.9498935,220,East Main Street,,BELLVILLE,,,,,8770c1c0c116694a
-96.5573839,29.9597684,2063,Rock House Road,,NEW ULM,,,,,bab7e63bc22661b3
-96.167343,29.7997104,168,Fm 2187,,SEALY,,,,,08a6d64b0b28203a
-96.1090432,29.7930875,0,Alvin Street,,SAN FELIPE ,,,,,a5bb850a68366cb5
-96.1087381,29.7936911,0,Alvin Street,,,,,,,9de14aedd39ece6f
-96.1078095,29.7935145,4175,Baron De Bastrop Street,,SAN FELIPE,,,,,98451798fcb026a3
-96.1073592,29.7943354,4249,Baron De Bastrop Street,,SAN FELIPE,,,,,77675aa890eaf929
-96.1075796,29.7939254,4223,Baron De Bastrop Street,,SAN FELIPE,,,,,026eb70be5f05941
-96.1083461,29.7929,3967,Sealy Road,,SAN FELIPE,,,,,4165bf5e70918888
-96.1078513,29.7927365,3999,Sealy Road,,SAN FELIPE,,,,,470f1d9126d79d26
-96.2700809,29.7954532,8146,Ashorn Lane,,SEALY,,,,,df88553d55ccf902
-96.2683022,29.791672,8244,Ashorn  Lane,,SEALY,,,,,7621517a8147c8ca
-96.2698547,29.790166,0,Ashorn Lane,,SEALY,,,,,16def41422dd3936
-96.2717654,29.7884764,0,Ashorn Lane,,SEALY,,,,,bcafd966fea66c64
-96.2792961,29.7984078,8863,Fm 2187,,SEALY,,,,,39f64785676ac3e1
-96.2114468,29.9452309,3504,Fm 529,,BELLVILLE,,,,,5250024afac3651b
-96.3626398,30.0054872,2719,Old Nelsonville Road,,BELLVILLE,,,,,772391017fe9e7c1
-96.3643792,30.0041798,2661,Old Nelsonville Road,, ,,,,,5c2fa23e55d1c12c
